mechanic,time_to_fixation
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,2.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,5.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,5.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,2.0
CI+ER+IE,5.0
CI+ER+IE,5.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+ER+IE,4.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,3.0
CI+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,2.0
CI+MK+ER+IE,5.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,4.0
CI+MK+ER+IE,3.0
CI+MK+ER+IE,5.0
