mechanic,replicate,time_to_fixation
MK+ER,120,4.0
MK+ER,121,5.0
MK+ER,122,6.0
MK+ER,123,4.0
MK+ER,124,6.0
MK+ER,125,7.0
MK+ER,126,10.0
MK+ER,127,8.0
MK+ER,128,8.0
MK+ER,129,4.0
MK+ER,130,6.0
MK+ER,131,5.0
MK+ER,132,5.0
MK+ER,133,6.0
MK+ER,134,13.0
MK+ER,135,4.0
MK+ER,136,6.0
MK+ER,137,5.0
MK+ER,138,5.0
MK+ER,139,6.0
MK+ER,140,4.0
MK+ER,141,6.0
MK+ER,142,5.0
MK+ER,143,5.0
MK+ER,144,6.0
MK+ER,145,8.0
MK+ER,146,5.0
MK+ER,147,8.0
MK+ER,148,8.0
MK+ER,149,6.0
MK+ER,150,5.0
MK+ER,151,6.0
MK+ER,152,5.0
MK+ER,153,5.0
MK+ER,154,5.0
MK+ER,155,6.0
MK+ER,156,10.0
MK+ER,157,6.0
MK+ER,158,6.0
MK+ER,159,7.0
MK+ER,160,5.0
MK+ER,161,6.0
MK+ER,162,9.0
MK+ER,163,8.0
MK+ER,164,6.0
MK+ER,165,9.0
MK+ER,166,7.0
MK+ER,167,9.0
MK+ER,168,9.0
MK+ER,169,6.0
MK+ER,170,9.0
MK+ER,171,5.0
MK+ER,172,4.0
MK+ER,173,5.0
MK+ER,174,4.0
MK+ER,175,7.0
MK+ER,176,6.0
MK+ER,177,10.0
MK+ER,178,7.0
MK+ER,179,5.0
MK+ER,180,9.0
MK+ER,181,7.0
MK+ER,182,5.0
MK+ER,183,6.0
MK+ER,184,4.0
MK+ER,185,8.0
MK+ER,186,7.0
MK+ER,187,5.0
MK+ER,188,6.0
MK+ER,189,4.0
MK+ER,190,6.0
MK+ER,191,6.0
MK+ER,192,6.0
MK+ER,193,6.0
MK+ER,194,4.0
MK+ER,195,7.0
MK+ER,196,5.0
MK+ER,197,5.0
MK+ER,198,5.0
MK+ER,199,8.0
MK+ER+IE,0,5.0
MK+ER+IE,1,5.0
MK+ER+IE,2,4.0
MK+ER+IE,3,6.0
MK+ER+IE,4,3.0
MK+ER+IE,5,6.0
MK+ER+IE,6,7.0
MK+ER+IE,7,5.0
MK+ER+IE,8,5.0
MK+ER+IE,9,5.0
MK+ER+IE,10,3.0
MK+ER+IE,11,6.0
MK+ER+IE,12,6.0
MK+ER+IE,13,4.0
MK+ER+IE,14,7.0
MK+ER+IE,15,6.0
MK+ER+IE,16,5.0
MK+ER+IE,17,4.0
MK+ER+IE,18,4.0
MK+ER+IE,19,4.0
MK+ER+IE,20,7.0
MK+ER+IE,21,5.0
MK+ER+IE,22,5.0
MK+ER+IE,23,4.0
MK+ER+IE,24,4.0
MK+ER+IE,25,5.0
MK+ER+IE,26,4.0
MK+ER+IE,27,5.0
MK+ER+IE,28,5.0
MK+ER+IE,29,4.0
MK+ER+IE,30,4.0
MK+ER+IE,31,5.0
MK+ER+IE,32,5.0
MK+ER+IE,33,5.0
MK+ER+IE,34,4.0
MK+ER+IE,35,5.0
MK+ER+IE,36,5.0
MK+ER+IE,37,5.0
MK+ER+IE,38,6.0
MK+ER+IE,39,5.0
MK+ER+IE,40,6.0
MK+ER+IE,41,5.0
