mechanic,replicate,final_infection_rate
MK+ER,71,1.0
MK+ER,72,1.0
MK+ER,73,1.0
MK+ER,74,1.0
MK+ER,75,1.0
MK+ER,76,1.0
MK+ER,77,1.0
MK+ER,78,1.0
MK+ER,79,1.0
MK+ER,80,1.0
MK+ER,81,1.0
MK+ER,82,1.0
MK+ER,83,1.0
MK+ER,84,1.0
MK+ER,85,1.0
MK+ER,86,1.0
MK+ER,87,1.0
MK+ER,88,1.0
MK+ER,89,1.0
MK+ER,90,1.0
MK+ER,91,1.0
MK+ER,92,1.0
MK+ER,93,1.0
MK+ER,94,1.0
MK+ER,95,1.0
MK+ER,96,1.0
MK+ER,97,1.0
MK+ER,98,1.0
MK+ER,99,1.0
MK+ER,100,1.0
MK+ER,101,1.0
MK+ER,102,1.0
MK+ER,103,1.0
MK+ER,104,1.0
MK+ER,105,1.0
MK+ER,106,1.0
MK+ER,107,1.0
MK+ER,108,1.0
MK+ER,109,1.0
MK+ER,110,1.0
MK+ER,111,1.0
MK+ER,112,1.0
MK+ER,113,1.0
MK+ER,114,1.0
MK+ER,115,1.0
MK+ER,116,1.0
MK+ER,117,1.0
MK+ER,118,1.0
MK+ER,119,1.0
MK+ER,120,1.0
MK+ER,121,1.0
MK+ER,122,1.0
MK+ER,123,1.0
MK+ER,124,1.0
MK+ER,125,1.0
MK+ER,126,1.0
MK+ER,127,1.0
MK+ER,128,1.0
MK+ER,129,1.0
MK+ER,130,1.0
MK+ER,131,1.0
MK+ER,132,1.0
MK+ER,133,1.0
MK+ER,134,1.0
MK+ER,135,1.0
MK+ER,136,1.0
MK+ER,137,1.0
MK+ER,138,1.0
MK+ER,139,1.0
MK+ER,140,1.0
MK+ER,141,1.0
MK+ER,142,1.0
MK+ER,143,1.0
MK+ER,144,1.0
MK+ER,145,1.0
MK+ER,146,1.0
MK+ER,147,1.0
MK+ER,148,1.0
MK+ER,149,1.0
MK+ER,150,1.0
MK+ER,151,1.0
MK+ER,152,1.0
MK+ER,153,1.0
MK+ER,154,1.0
MK+ER,155,1.0
MK+ER,156,1.0
MK+ER,157,1.0
MK+ER,158,1.0
MK+ER,159,1.0
MK+ER,160,1.0
MK+ER,161,1.0
MK+ER,162,1.0
MK+ER,163,1.0
MK+ER,164,1.0
MK+ER,165,1.0
MK+ER,166,1.0
MK+ER,167,1.0
MK+ER,168,1.0
MK+ER,169,1.0
MK+ER,170,1.0
MK+ER,171,1.0
MK+ER,172,1.0
MK+ER,173,1.0
MK+ER,174,1.0
MK+ER,175,1.0
