mechanic,replicate,final_population_size
MK+IE,13,20000
MK+IE,14,20000
MK+IE,15,20000
MK+IE,16,20000
MK+IE,17,20000
MK+IE,18,20000
MK+IE,19,20000
MK+IE,20,20000
MK+IE,21,20000
MK+IE,22,20000
MK+IE,23,20000
MK+IE,24,20000
MK+IE,25,20000
MK+IE,26,20000
MK+IE,27,20000
MK+IE,28,20000
MK+IE,29,19997
MK+IE,30,19999
MK+IE,31,20000
MK+IE,32,20000
MK+IE,33,20000
MK+IE,34,20000
MK+IE,35,19999
MK+IE,36,20000
MK+IE,37,20000
MK+IE,38,20000
MK+IE,39,19998
MK+IE,40,20000
MK+IE,41,20000
MK+IE,42,20000
MK+IE,43,20000
MK+IE,44,20000
MK+IE,45,20000
MK+IE,46,20000
MK+IE,47,20000
MK+IE,48,20000
MK+IE,49,20000
MK+IE,50,20000
MK+IE,51,20000
MK+IE,52,20000
MK+IE,53,20000
MK+IE,54,20000
MK+IE,55,20000
MK+IE,56,20000
MK+IE,57,20000
MK+IE,58,20000
MK+IE,59,20000
MK+IE,60,20000
MK+IE,61,20000
MK+IE,62,20000
MK+IE,63,20000
MK+IE,64,20000
MK+IE,65,20000
MK+IE,66,20000
MK+IE,67,20000
MK+IE,68,20000
MK+IE,69,20000
MK+IE,70,20000
MK+IE,71,20000
MK+IE,72,20000
MK+IE,73,20000
MK+IE,74,20000
MK+IE,75,20000
MK+IE,76,20000
MK+IE,77,20000
MK+IE,78,19999
MK+IE,79,19997
MK+IE,80,20000
MK+IE,81,20000
MK+IE,82,20000
MK+IE,83,20000
MK+IE,84,20000
MK+IE,85,20000
MK+IE,86,20000
MK+IE,87,20000
MK+IE,88,20000
MK+IE,89,20000
MK+IE,90,19998
MK+IE,91,20000
MK+IE,92,20000
MK+IE,93,20000
MK+IE,94,20000
MK+IE,95,20000
MK+IE,96,20000
MK+IE,97,20000
MK+IE,98,20000
MK+IE,99,19999
MK+IE,100,20000
MK+IE,101,20000
MK+IE,102,20000
MK+IE,103,20000
MK+IE,104,20000
MK+IE,105,19998
MK+IE,106,20000
MK+IE,107,20000
MK+IE,108,20000
MK+IE,109,20000
MK+IE,110,19999
MK+IE,111,19999
MK+IE,112,20000
MK+IE,113,19999
MK+IE,114,20000
MK+IE,115,20000
MK+IE,116,20000
MK+IE,117,20000
MK+IE,118,20000
MK+IE,119,20000
MK+IE,120,20000
MK+IE,121,19998
MK+IE,122,20000
MK+IE,123,20000
MK+IE,124,20000
MK+IE,125,20000
MK+IE,126,20000
MK+IE,127,20000
MK+IE,128,19998
MK+IE,129,20000
MK+IE,130,19999
MK+IE,131,20000
MK+IE,132,20000
MK+IE,133,20000
MK+IE,134,20000
MK+IE,135,20000
MK+IE,136,19999
MK+IE,137,20000
MK+IE,138,19999
MK+IE,139,20000
MK+IE,140,20000
MK+IE,141,20000
MK+IE,142,20000
MK+IE,143,20000
MK+IE,144,20000
MK+IE,145,20000
MK+IE,146,20000
MK+IE,147,20000
MK+IE,148,20000
MK+IE,149,20000
MK+IE,150,20000
MK+IE,151,20000
MK+IE,152,20000
MK+IE,153,19999
MK+IE,154,20000
MK+IE,155,20000
MK+IE,156,20000
MK+IE,157,20000
MK+IE,158,19997
MK+IE,159,19998
MK+IE,160,20000
MK+IE,161,20000
MK+IE,162,20000
MK+IE,163,20000
MK+IE,164,20000
MK+IE,165,20000
MK+IE,166,20000
MK+IE,167,19998
MK+IE,168,20000
MK+IE,169,20000
MK+IE,170,20000
MK+IE,171,20000
MK+IE,172,20000
MK+IE,173,20000
MK+IE,174,19998
MK+IE,175,20000
MK+IE,176,20000
MK+IE,177,19999
MK+IE,178,20000
MK+IE,179,20000
MK+IE,180,19999
MK+IE,181,20000
MK+IE,182,20000
MK+IE,183,20000
MK+IE,184,20000
MK+IE,185,20000
MK+IE,186,20000
MK+IE,187,20000
