mechanic,replicate,final_infection_rate
MK+IE,184,0.83785
MK+IE,185,0.82835
MK+IE,186,0.88845
MK+IE,187,0.90315
MK+IE,188,0.8868
MK+IE,189,0.80275
MK+IE,190,0.849142
MK+IE,191,0.85055
MK+IE,192,0.8895
MK+IE,193,0.86385
MK+IE,194,0.8841
MK+IE,195,0.8679
MK+IE,196,0.855821
MK+IE,197,0.9058
MK+IE,198,0.8682
MK+IE,199,0.88445
MK+ER,0,0.8505
MK+ER,1,0.8949
MK+ER,2,0.809
MK+ER,3,0.868287
MK+ER,4,0.83255
MK+ER,5,0.810641
MK+ER,6,0.8184
MK+ER,7,0.93445
MK+ER,8,0.7662
MK+ER,9,0.7233
MK+ER,10,0.838
MK+ER,11,0.84755
MK+ER,12,0.78765
MK+ER,13,0.8162
MK+ER,14,0.822041
MK+ER,15,0.83695
MK+ER,16,0.80805
MK+ER,17,0.79635
MK+ER,18,0.881044
MK+ER,19,0.78305
MK+ER,20,0.84055
MK+ER,21,0.8716
MK+ER,22,0.863273
MK+ER,23,0.84045
MK+ER,24,0.8651
MK+ER,25,0.7382
MK+ER,26,0.9041
MK+ER,27,0.801
MK+ER,28,0.90125
MK+ER,29,0.8177
MK+ER,30,0.839192
MK+ER,31,0.81955
MK+ER,32,0.85405
MK+ER,33,0.8078
MK+ER,34,0.814
MK+ER,35,0.840942
MK+ER,36,0.784046
MK+ER,37,0.79475
MK+ER,38,0.9161
MK+ER,39,0.87835
MK+ER,40,0.795809
MK+ER,41,0.850878
MK+ER,42,0.9015
MK+ER,43,0.827683
MK+ER,44,0.787679
MK+ER,45,0.8353
MK+ER,46,0.815591
MK+ER,47,0.85675
MK+ER,48,0.86495
MK+ER,49,0.8088
MK+ER,50,0.8426
MK+ER,51,0.795819
MK+ER,52,0.86615
MK+ER,53,0.8568
MK+ER,54,0.876744
MK+ER,55,0.8586
MK+ER,56,0.833992
MK+ER,57,0.8556
MK+ER,58,0.868387
MK+ER,59,0.82685
MK+ER,60,0.903095
MK+ER,61,0.89355
MK+ER,62,0.8141
MK+ER,63,0.875294
MK+ER,64,0.7286
MK+ER,65,0.856
MK+ER,66,0.7723
MK+ER,67,0.8436
MK+ER,68,0.8738
MK+ER,69,0.827007
MK+ER,70,0.90245
