genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HM,F,32,free swimming,11-2018,1.408723089390156,1.513964151396455,2.9637328961264853
rei-HM,F,19,free swimming,11-2018,1.0948512284146297,1.2256095736750123,2.5052962100468745
rei-HM,F,36,free swimming,11-2018,1.2575148369950901,1.35992820537985,2.6187733229282832
rei-HM,F,25,free swimming,11-2018,1.6172819168940435,1.6459668879500842,3.2077045360625824
rei-HM,F,17,free swimming,11-2018,1.2681863483310754,1.422952861257853,3.021185753228417
rei-HM,F,3,free swimming,11-2018,1.5412987851507727,1.6614796665254905,3.405412224465475
rei-HM,F,14,free swimming,11-2018,1.2586434063295096,1.351411931360659,3.148700704755697
rei-HM,F,28,free swimming,11-2018,1.5959379013661548,1.6999894636584363,3.0148761364520515
rei-HM,F,71,free swimming,11-2018,1.3362468090796962,1.5309293769791947,3.266189566859021
rei-HM,F,70,free swimming,11-2018,1.5895684258059037,1.7493498732546584,3.3771029127563668
rei-HM,F,4,free swimming,11-2018,1.798974345515239,1.7562198459828948,2.8541724697255835
rei-HM,F,18,free swimming,11-2018,1.233042651515907,1.3580686986536965,2.874230360444281
rei-HM,F,37,free swimming,11-2018,1.1375491888634177,1.3287356668876402,2.972939086234666
rei-HM,F,24,free swimming,11-2018,1.270618551059828,1.4344313813422813,3.128185001024348
rei-HM,F,33,free swimming,11-2018,1.3992390939817532,1.4356044649561124,2.6830103552225624
rei-HM,F,20,free swimming,11-2018,1.3786607913386035,1.5230483391305736,3.483765967022552
rei-HM,F,30,free swimming,11-2018,1.3001063931166157,1.4712662173150886,3.153556857419021
rei-HM,F,8,free swimming,11-2018,1.3368534481254315,1.477493329844748,4.166005624879969
rei-HM,F,5,free swimming,11-2018,1.3741956519737824,1.5059200798454355,3.5730177788541724
rei-HM,F,34,free swimming,11-2018,1.466486246053708,1.653518784636193,3.4810421447228523
rei-HM,F,27,free swimming,11-2018,1.734610438366335,2.03606381065634,4.037250238146897
rei-HM,F,23,free swimming,11-2018,1.4911344863002856,1.533002638601804,2.6483374750526933
rei-HM,F,81,free swimming,11-2018,1.488171913399455,1.69203544823993,4.093611576316873
rei-HM,F,9,free swimming,11-2018,1.5352261785181112,1.5558775258494284,2.9888088651544837
rei-HM,F,60,free swimming,11-2018,1.9341157423007982,2.0390750934526567,4.6818118012386725
rei-HM,F,1,free swimming,11-2018,1.2120884245765693,1.2838850532067638,2.836394525814539
rei-HM,F,41,free swimming,11-2018,1.3002808140105062,1.4548158374027516,3.0971234860874195
rei-HM,M,7,free swimming,11-2018,1.4360276678368404,1.4624065799695003,3.023111746336931
rei-HM,M,30,free swimming,11-2018,1.5687671652036734,1.607766506704497,3.2173915162095343
rei-HM,M,51,free swimming,11-2018,1.3781824318245224,1.5723372208944693,3.6689030440233372
rei-HM,M,1,free swimming,11-2018,1.167191589271765,1.2365829962950188,2.5988477133245977
rei-HM,M,13,free swimming,11-2018,0.8367114044661708,0.8951237638024556,1.4612554706223733
rei-HM,M,35,free swimming,11-2018,1.5688330262933192,1.6339677174968248,3.643521825260304
rei-HM,M,26,free swimming,11-2018,1.7657710848366432,1.8254967289573987,3.355443981974489
rei-HM,M,39,free swimming,11-2018,1.529576455849707,1.5976172348885598,3.1050768519810745
rei-HM,M,11,free swimming,11-2018,1.2266296860964383,1.4064762512941884,3.4549826035845097
rei-HM,M,47,free swimming,11-2018,1.5496347827945778,1.6669692428011917,3.7432398941065284
rei-HM,M,54,free swimming,11-2018,1.8374025557497675,1.8271188066473563,3.6076993193568843
rei-HM,M,21,free swimming,11-2018,1.4796024818202511,1.5130821554966687,3.40322497118541
rei-HM,M,5,free swimming,11-2018,1.1848807347761412,1.300878941675806,2.3987775993797915
rei-HM,M,10,free swimming,11-2018,1.3917634430974255,1.4508879016654561,2.735664664599867
rei-HM,M,91,free swimming,11-2018,1.5218847730594263,1.5706530960454153,2.930156541556128
rei-HM,M,20,free swimming,11-2018,1.5469126004682434,1.6945142833824751,3.55143501570892
rei-HM,M,16,free swimming,11-2018,1.651984016099164,1.6917250639693182,2.927637831852746
rei-HM,M,43,free swimming,11-2018,1.5991354158417213,1.6383022504621527,2.859563341581185
rei-HM,M,60,free swimming,11-2018,1.6538538763240878,1.7490556682528504,3.0842668812781957
rei-HM,M,70,free swimming,11-2018,1.2630560868132266,1.4087263566273707,3.040302192966508
rei-HM,M,52,free swimming,11-2018,1.2446418381935875,1.435781406341087,3.241873339190206
rei-HM,M,19,free swimming,11-2018,1.7302945261879137,1.817485480884383,3.5009950286712694
rei-HM,M,33,free swimming,11-2018,1.1287566922901022,1.3606970282665558,3.265241292059928
rei-HM,M,61,free swimming,11-2018,1.2811040137258467,1.3741334145019208,3.145124159823446
rei-HM,M,15,free swimming,11-2018,1.4048114355709562,1.5322800027601604,3.3742956663685497
rei-HM,M,48,free swimming,11-2018,1.4128882052765523,1.5754779057795354,3.0885278172381336
rei-HM,M,4,free swimming,11-2018,0.9721605998541634,1.0825537145214545,2.8184195773687186
rei-HM,M,36,free swimming,11-2018,1.7783751869522395,1.7536894709447803,3.4591114719727347
rei-HM,M,25,free swimming,11-2018,1.2992662599092721,1.3853903658875508,3.3112118741863874
rei-HM,M,23,free swimming,11-2018,1.4388425125909476,1.571256973960401,2.82849711016505
rei-HM,M,40,free swimming,11-2018,1.2737336949563571,1.3907388164461447,2.83589296628203
rei-HM,M,29,free swimming,11-2018,1.4000611692526377,1.5271654113381,3.1981524604220533
rei-HM,M,44,free swimming,11-2018,1.3982459202465565,1.563097575592119,3.8947399749181106
rei-HM,M,57,free swimming,11-2018,1.2334069612985326,1.412420731458864,2.975620537321339
rei-HM,M,12,free swimming,11-2018,1.0530891203821877,1.135442629816499,2.0636893046106297
rei-HM,M,71,free swimming,11-2018,1.662276082807874,1.7089389316213757,2.9985326706852122
rei-HM,M,14,free swimming,11-2018,1.5827979383284172,1.6210220934382604,3.008517579018682
rei-HM,M,32,free swimming,11-2018,1.8556699005481927,1.8420045295346852,3.102423724655539
rei-HM,M,18,free swimming,11-2018,1.368772874813376,1.4938252158341798,2.7794437099526377
rei-HM,M,53,free swimming,11-2018,1.3129448449073018,1.428176236652923,2.782999476286299
rei-HM,M,50,free swimming,11-2018,1.1618717090536923,1.3041294917157022,2.5133886437085176
rei-HM,M,80,free swimming,11-2018,1.8848712857551106,1.9535621122426539,3.3768000180227356
rei-HM,M,45,free swimming,11-2018,1.4597197222915899,1.614252145028211,3.6880656814744555
