Timestamp,sex,age,factorial framing,letter_i,tumor,k_position,framing,Steve,letter_ing,Linda,letter_ly,letter_l,Group,microframingID,framingID
22/12/2021 08:33:44,female,24.0,305000.0,21,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/12/2021 08:34:00,female,24.0,74800.0,21,10,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/12/2021 08:34:07,female,21.0,500000.0,9,10,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/12/2021 08:34:49,female,,200000.0,13,90,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/12/2021 08:34:59,male,24.0,1000.0,13,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
22/12/2021 08:35:09,female,23.0,70000.0,3.5,90,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
22/12/2021 08:36:16,female,24.0,36000.0,13,100,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
22/12/2021 08:36:36,female,23.0,1200.0,9,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
22/12/2021 08:36:42,female,23.0,270000.0,21,100,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,13,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/12/2021 08:36:47,female,,360.0,9,90,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,9,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
22/12/2021 08:38:09,female,21.0,500000.0,13,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
25/08/2022 23:14:51,female,23.0,10000.0,21,90,"More words have the letter k at the third position, than at the beginning",Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
25/08/2022 23:19:17,,,1000.0,6,50,There are more words having the letter K at the beginning than at the third position,"Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,6,Linda is a bank teller. (Bankkauffrau),,,2,1->9,negative
25/08/2022 23:28:02,male,34.0,362880.0,0.0,80,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,farmer,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 02:22:06,female,20.0,10.0,3.5,60,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,6,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 02:26:25,male,19.0,23532.0,3.5,100,There are more words having the letter K at the beginning than at the third position,Program A: 400 people will die!,librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 03:11:59,female,20.0,1000.0,6,70,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
04/10/2022 03:27:12,female,21.0,362880.0,21,50,"More words have the letter k at the third position, than at the beginning","Program B: either everyone dies (67% probability), or no one dies (33% probability)",librarian,21,Linda is a bank teller and is active in the feminist movement.,,,2,1->9,negative
