genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HM,M,29,c-start,08-2019,1.3822913083556019,1.4439171113522364,3.2603772315843287
rei-HM,M,26,c-start,08-2019,1.6752735752873993,1.7445333878444071,3.6226112319172374
rei-HM,M,19,c-start,08-2019,1.7695828622427454,1.7850021134270904,3.1168134034665895
rei-HM,M,54,c-start,08-2019,1.135460981040009,1.3488678661973788,3.7038123552346143
rei-HM,M,45,c-start,08-2019,1.4716928357723906,1.5755946558294287,3.4202340385660053
rei-HM,M,61,c-start,08-2019,1.2934089255846122,1.417579969259202,4.97336645989347
rei-HM,M,71,c-start,08-2019,2.1390660427589303,2.1938277942042794,4.874623844454497
rei-HM,M,41,c-start,08-2019,2.112616844768609,2.200028389517003,4.311533944432825
rei-HM,M,56,c-start,08-2019,2.125389323383618,2.148235340772185,4.4371897292910365
rei-HM,M,25,c-start,08-2019,1.644150668984632,1.7478191314392924,3.070827483737127
rei-HM,M,27,c-start,08-2019,1.8614785415809945,1.945389047443023,4.378340656209827
rei-HM,M,20,c-start,08-2019,2.2359760684483034,2.2141470695061733,4.4496255482674645
rei-HM,M,49,c-start,08-2019,1.6056460287367778,1.7247798020435667,3.826645202572008
rei-HM,M,43,c-start,08-2019,1.8734933244789733,2.0759417352255936,4.2983116055367425
rei-HM,M,53,c-start,08-2019,1.6978583295964123,1.7350057957333327,4.080787178325037
rei-HM,M,15,c-start,08-2019,1.2288983467018497,1.495359599114318,3.57686178485703
rei-HM,M,23,c-start,08-2019,1.3189963642525795,1.4574469449059664,3.8603317735426965
rei-HM,M,8,c-start,08-2019,2.21500289421565,2.0556934963854183,4.251073503440141
rei-HM,M,2,c-start,08-2019,1.4399813710402956,1.4780897533956918,3.0572552767939483
rei-HM,M,44,c-start,08-2019,1.878885852712461,1.908227357814667,3.812911713349253
rei-HM,M,9,c-start,08-2019,1.2191565409347276,1.5698163880681655,3.85818517104129
rei-HM,M,46,c-start,08-2019,1.5335305362265563,1.678411504858268,4.027579054391673
rei-HM,M,81,c-start,08-2019,1.8429077704868608,1.8471817419723757,4.231884561217573
rei-HM,M,16,c-start,08-2019,1.5158220228322228,1.606274153828641,3.3254008140788756
rei-HM,M,60,c-start,08-2019,1.235496403468464,1.509383706662836,2.447638489479683
rei-HM,M,42,c-start,08-2019,1.5166326441256466,1.6095755280605963,3.8110169249800103
rei-HM,M,30,c-start,08-2019,1.6910953499401007,1.694330375949199,3.102557347868018
rei-HM,M,36,c-start,08-2019,1.479040489792937,1.5508078489055033,3.402937683408108
rei-HM,M,37,c-start,08-2019,2.1076660380871877,2.1737944629596653,3.935485916850842
rei-HM,F,30,c-start,08-2019,1.4497743937632726,1.600398271711377,3.755070546598322
rei-HM,F,18,c-start,08-2019,1.8981024828712225,1.902953719637663,3.6131801124737217
rei-HM,F,10,c-start,08-2019,1.935672319683067,1.9703252650576695,3.710415905618751
rei-HM,F,14,c-start,08-2019,1.5254985104812868,1.6065098480169886,3.5227058253637273
rei-HM,F,17,c-start,08-2019,1.372568824858651,1.508021106303108,2.834496993192875
rei-HM,F,61,c-start,08-2019,1.6071200339953158,1.7485487342699029,3.8365809532621657
rei-HM,F,24,c-start,08-2019,1.2666232653190503,1.4034736818239646,3.132725323778956
rei-HM,F,90,c-start,08-2019,1.6533153954398527,1.7133917532462661,3.5984308522377404
rei-HM,F,29,c-start,08-2019,1.9965943054391042,2.2522068232481387,4.622717651659321
rei-HM,F,6,c-start,08-2019,1.4934907985907888,1.6804440476536062,3.2367635805581094
rei-HM,F,11,c-start,08-2019,1.993309218091174,1.9840547373889403,3.727575906869431
rei-HM,F,28,c-start,08-2019,1.6494090071628609,1.7456120774763457,3.336775682689618
rei-HM,F,81,c-start,08-2019,1.3779421315053049,1.597490466418887,3.0477985188706422
rei-HM,F,20,c-start,08-2019,2.4901888210144314,2.4825666188620845,5.280707044237078
rei-HM,F,7,c-start,08-2019,1.2855820365798338,1.5378876534788417,3.5298389549470577
rei-HM,F,31,c-start,08-2019,2.1194451186273424,2.3275243742685268,7.1297930020145746
rei-HM,F,27,c-start,08-2019,1.7514163982389341,1.9128752607452038,4.494480462900384
rei-HM,F,35,c-start,08-2019,1.7131693589264203,1.541253984098526,2.46099760640005
rei-HM,F,51,c-start,08-2019,1.4316604188544904,1.6442065795657756,3.1328590843494646
rei-HM,F,12,c-start,08-2019,1.9077745449221775,2.2101378892811003,5.834535326622298
