genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
sufge1-INT,M,13,counter current,08-2019,1.0840604255556432,1.261899011696906,4.266147885650175
sufge1-INT,F,2,counter current,08-2019,1.1074256270205325,1.3901043656153431,3.7405350873357137
sufge1-INT,M,1,counter current,08-2019,1.5315167062074557,1.6931322208243496,3.8930048642887596
sufge1-INT,M,6,counter current,08-2019,1.1048012188327347,1.206357567695124,4.452004753186387
sufge1-INT,M,4,counter current,08-2019,0.8190044871155602,0.9604838163003365,2.0452351525303123
sufge1-INT,M,36,counter current,08-2019,1.3667572594415798,1.4651860773917202,3.094628920903296
sufge1-INT,M,35,counter current,08-2019,1.5863766875843883,1.710281243492376,3.485762365838234
sufge1-INT,M,8,counter current,08-2019,1.6343632440787381,1.808636384596786,5.106716051071557
sufge1-INT,M,10,counter current,08-2019,1.1685652797014772,1.3678638401712033,3.9606862651554136
sufge1-INT,M,26,counter current,08-2019,1.1607303253669103,1.2980082242263136,3.397716452236039
sufge1-INT,M,23,counter current,08-2019,0.9557037441769142,1.0950394604913554,2.6514855611868313
sufge1-INT,M,15,counter current,08-2019,1.5024692519830811,1.610024132857029,3.762917333023541
rei-INT,F,60,counter current,11-2018,1.5675798917555688,1.6903114974797488,4.114766744104891
rei-INT,F,29,counter current,11-2018,1.2845048158493575,1.4303068192166286,3.4832830046031966
rei-INT,F,20,counter current,11-2018,1.1665343194163054,1.2926783824667454,3.1857366291434044
rei-INT,F,25,counter current,11-2018,1.3208726938389668,1.4939760663746255,3.6336614896645796
rei-INT,F,21,counter current,11-2018,1.4877942092650378,1.6349828914697953,4.536495619217907
rei-INT,F,32,counter current,11-2018,1.224213240671101,1.2966336264751757,3.6274390878323066
rei-INT,F,17,counter current,11-2018,1.2500250739138354,1.3905555771341107,3.41495277946478
rei-INT,F,90,counter current,11-2018,1.2542326374927113,1.4159522737005203,3.824491450360685
rei-INT,F,26,counter current,11-2018,1.335851487928486,1.5086977376098345,3.4729426479945458
rei-INT,F,22,counter current,11-2018,1.6976013764533149,1.7683289520281216,3.3972999459987556
rei-INT,F,31,counter current,11-2018,1.4740100401573344,1.5934170369555194,3.7884058388577593
rei-INT,F,50,counter current,11-2018,1.3484730556107882,1.5364277067661534,3.722022496322891
rei-INT,F,18,counter current,11-2018,1.3816793608919213,1.5077551659153006,4.074032320346358
rei-INT,F,23,counter current,11-2018,1.8996068887649575,2.001082328547144,4.391228432833628
rei-INT,F,30,counter current,11-2018,1.4254710881848678,1.5897707066907512,3.8046872392743576
rei-INT,F,27,counter current,11-2018,1.1809030852670575,1.384995261392059,3.762118620039808
rei-INT,F,80,counter current,11-2018,1.4192198002573677,1.6103795076437835,4.046032687576135
rei-INT,F,19,counter current,11-2018,1.3034863864210258,1.4007443184821442,2.6683294729650493
rei-INT,F,40,counter current,11-2018,1.134815221963266,1.2712153811197295,3.11003562694888
rei-INT,F,28,counter current,11-2018,1.5986119515014892,1.779427640309017,3.710185848787865
rei-INT,F,70,counter current,11-2018,1.2589113069915299,1.5238928170954713,3.8649323173043753
rei-INT,F,16,counter current,11-2018,1.5414388033501953,1.6937283472110907,4.42138770195882
