,genotype,light_condition,activity_norm_sum,activity_freq,activity_bout_dur_sec,distance_walked_mm,max_speed_mmPs,avg_speed_mmPs,sex
138,13V,dark,0.024980080976926455,0.0075339978427833515,6.631294964028777,3381.4913163232586,1.1372777843199702,0.6934758407753464,female
139,13V,dark,0.02417112473373551,0.007046185032818962,6.860769230769232,4037.9148929433613,1.4488063689929576,0.7375526706360488,female
140,13V,dark,0.0005000081302134994,0.0001897049816528182,5.271428571428571,937.6213141350984,1.0303836917632634,0.6598913604690396,female
141,13V,dark,0.07681019203564285,0.02536626611814826,6.056089743589744,7499.6097419888265,1.378764277326431,0.7453843673539313,male
142,13V,dark,0.04770809281451731,0.015853916323842664,6.018461538461539,6129.151969868144,1.3028451732142456,0.7114016441151682,male
143,13V,dark,0.05281657696331106,0.013252248004032586,7.970961145194274,5146.558665538991,1.1891981366938496,0.740288957944075,male
144,13V,dark,0.029015376943798545,0.008157314211071182,7.1139534883720925,4137.878928762273,1.2109856281151958,0.7099100167210166,female
145,13V,dark,0.018122245890177077,0.0039296031913798055,9.22344827586207,3306.760089050037,1.3546761664917448,0.7750795323846054,female
146,13V,dark,0.0032642807200117074,0.0010569277549228443,6.176923076923076,1344.3129901259128,1.1211328776422838,0.7102616803916451,female
147,13V,dark,0.04509558421004135,0.01525770066721952,5.911190053285968,5150.526754351805,1.2988354162960207,0.7216994879453825,male
148,13V,dark,0.11733388618785129,0.03962124045377431,5.922777017783858,12270.167239055863,1.2412112947657967,0.694290459201833,male
149,13V,dark,0.017536870518219807,0.006124760836219559,5.726548672566372,3148.938705557755,1.0948386197162985,0.6699002922245451,male
150,13V,dark,0.027100711664688314,0.006341566529537065,8.547008547008547,4675.5968623055305,1.2555298910747505,0.7131469015245685,female
151,13V,dark,0.018872935603288944,0.004200610308026689,8.985806451612904,2425.5920474229188,1.297195547182952,0.7934860809531324,female
152,13V,dark,0.04863222708228318,0.015826815612177976,6.14554794520548,5314.718203571914,1.4002136756466512,0.720100382032568,female
153,13V,dark,0.12047079356303897,0.032222746169314406,7.477375946173255,10863.342186095055,1.6659576121975193,0.8744904226670449,male
154,13V,dark,0.028588540735079705,0.010298270432581559,5.5521052631578955,4217.6497366603135,1.3856665363130227,0.6908242760356982,male
155,13V,dark,0.057380336807644566,0.019837720938551847,5.784972677595629,7993.880583857715,1.2699333733244185,0.6858231641119096,male
156,13V,dark,0.017661533791877376,0.006368667241201754,5.546382978723405,3604.796222220422,1.0627455590777195,0.6548633637778933,female
157,13V,dark,0.03390841043485802,0.009105839119335274,7.447619047619048,4174.188175488206,1.4676900837007787,0.7899688477341607,female
158,13V,dark,0.0,0.0,,256.97265277881337,,,female
159,13V,dark,0.0,0.0,,183.66750722345978,,,male
160,13V,dark,0.031028959820484887,0.00964785335262904,6.432303370786516,3521.6328109478522,1.3126697148837574,0.7255621086986885,male
161,13V,dark,0.03776755177590964,0.013333550139026651,5.665040650406505,5364.1439778376,1.081343794320335,0.6620192512766853,male
162,13V,dark,0.03344998703847721,0.01610932118653483,4.152873563218391,1292.5282046689415,0.8229122652789564,0.5827780989036538,female
163,13V,dark,0.03908735643397995,0.010379572567575624,7.531592689295039,4585.331025913057,1.1677429235885823,0.7210936802203824,female
164,13V,dark,0.0,0.0,,321.8437557283705,,,female
165,13V,dark,0.0,0.0,,366.3966611441645,,,male
166,13V,dark,0.12452116365193425,0.032060185342018224,7.767962806424345,10886.013815199227,1.2617509851521493,0.7062830648244139,male
167,13V,dark,0.007364628374212554,0.003929608516139173,3.7482758620689656,3826.057909809695,0.7135812989594715,0.5550259348534565,male
168,13V,dark,0.08029003220923946,0.02329309323876979,6.89336437718277,11108.660523156133,1.4751980644254583,0.7066411218049113,female
169,13V,dark,0.18018610083917466,0.05636955664530676,6.393028846153846,16973.312176200987,1.469667041615881,0.7415740404223602,female
170,13V,dark,0.08805575165958208,0.021084382245215704,8.352699228791773,9041.19385499375,1.6407670101556302,0.8738428908287121,female
171,13V,dark,0.1591071387436364,0.04597641963882833,6.9220518867924525,14473.426952891059,1.388702292398515,0.7686095989468423,male
