,saccade_peak_s,saccade_start_idx,sacc_peak_idx,saccade_stop_idx,amplitude_deg,top_speed_degPs,saccade_duration_s,direction,id,category,Bodypart,abs_speed_degPs,median_abs_rot_vel_degPs,median_translational_vel_mPs
140,3.24,74,81.0,85,-7011.291442877596,-451.14851545562493,0.4469609842123498,left,30,body,body,451.14851545562493,171.63245414664397,0.0261499134263557
141,4.08,73,102.0,113,8562.005826813394,580.406191837021,1.598842284582443,right,30,body,body,580.406191837021,145.94721724382538,0.8109696286273146
142,8.76,210,219.0,231,-17302.3359307161,-743.4195925384629,0.8391755027838621,left,30,body,body,743.4195925384629,40.3496629667778,1.1431407082707579
143,9.4,235,235.0,237,-1496.2751661984305,-329.53303149118136,0.08830942857334322,left,30,body,body,329.53303149118136,121.73098398065747,0.6260237110407232
144,1.28,16,32.0,43,-26912.522681138787,-943.4636638658073,1.0728318415080946,left,32,body,body,943.4636638658073,74.49288713528989,1.4942961517796522
145,1.44,34,36.0,36,-4121.570651500127,-932.6866420528656,0.09244046821909706,left,32,body,body,932.6866420528656,108.41079567866885,0.7503014484003281
146,6.08,146,152.0,158,3498.790618231823,283.59644988788915,0.463209580606391,right,32,body,body,283.59644988788915,225.80459976201013,4.243106493904329
147,2.12,29,53.0,59,6294.501656185624,317.68104504824066,1.1769870668505158,right,43,body,body,317.68104504824066,66.70503354542454,0.5743910293236819
148,6.44,149,161.0,172,-10875.47536220641,-419.029800394575,0.939501394182298,left,43,body,body,419.029800394575,411.83913257345,0.13500026983472155
149,6.44,150,161.0,177,-19282.03345848743,-677.2410694668043,1.0873039143647782,left,47,body,body,677.2410694668043,50.47050567909963,0.6392962774919106
150,1.48,34,37.0,40,4999.995297123244,415.30768374195236,0.21883930338530347,right,51,body,body,415.30768374195236,76.06578497188985,0.12337754434813891
151,1.8,33,45.0,62,25260.959928498796,644.6802654095835,1.1504750273422524,right,51,body,body,644.6802654095835,65.80484394999485,0.4967801251491095
152,2.24,54,56.0,57,2086.7689119003617,325.67019762742973,0.1203769566881357,right,51,body,body,325.67019762742973,45.577039774800774,1.4078394122155125
