saccade_duration_msec,saccade_type,species,dataset,bodypart,id
927.709655202418,saccade,gentoo,confined,associated,confined associated gentoo
162.34575354106028,saccade,gentoo,confined,associated,confined associated gentoo
1412.9125088808205,saccade,gentoo,confined,associated,confined associated gentoo
764.3410041096397,saccade,gentoo,confined,associated,confined associated gentoo
296.70249106740613,saccade,gentoo,confined,associated,confined associated gentoo
563.0462523942293,saccade,gentoo,confined,associated,confined associated gentoo
647.310988191407,saccade,gentoo,confined,associated,confined associated gentoo
236.9975555200358,saccade,gentoo,confined,associated,confined associated gentoo
466.405173570597,saccade,gentoo,confined,associated,confined associated gentoo
57.82193903170878,saccade,gentoo,confined,associated,confined associated gentoo
1062.253034134967,saccade,gentoo,confined,associated,confined associated gentoo
49.49668844101211,saccade,gentoo,confined,associated,confined associated gentoo
1829.2730360336625,saccade,gentoo,confined,associated,confined associated gentoo
94.10053229260257,saccade,gentoo,confined,associated,confined associated gentoo
283.3696876401416,saccade,gentoo,confined,associated,confined associated gentoo
1072.4307096102189,saccade,gentoo,confined,associated,confined associated gentoo
537.9782090976175,saccade,gentoo,confined,associated,confined associated gentoo
671.1462950754151,saccade,gentoo,confined,associated,confined associated gentoo
999.9843556980436,saccade,gentoo,confined,associated,confined associated gentoo
242.0419661511784,saccade,gentoo,confined,associated,confined associated gentoo
1795.2298227166204,saccade,gentoo,confined,associated,confined associated gentoo
464.5798004249152,saccade,gentoo,confined,associated,confined associated gentoo
537.2888575089689,saccade,gentoo,confined,associated,confined associated gentoo
713.1632946535977,saccade,gentoo,confined,associated,confined associated gentoo
659.2593142311671,saccade,gentoo,confined,associated,confined associated gentoo
514.2011913737053,saccade,gentoo,confined,associated,confined associated gentoo
266.9746313523103,saccade,gentoo,confined,associated,confined associated gentoo
588.3935372644987,saccade,gentoo,confined,associated,confined associated gentoo
459.2816877988548,saccade,gentoo,confined,associated,confined associated gentoo
2583.8152303465445,saccade,gentoo,confined,associated,confined associated gentoo
363.69695903065576,saccade,gentoo,confined,associated,confined associated gentoo
270.4677196891919,saccade,gentoo,confined,associated,confined associated gentoo
383.65600732037706,saccade,gentoo,confined,associated,confined associated gentoo
93.31986512789284,saccade,gentoo,confined,associated,confined associated gentoo
1508.0075448702212,saccade,gentoo,confined,associated,confined associated gentoo
240.2650606193879,saccade,gentoo,confined,associated,confined associated gentoo
177.1649422191308,saccade,gentoo,confined,associated,confined associated gentoo
84.01228928895691,saccade,gentoo,confined,associated,confined associated gentoo
534.0930114024719,saccade,gentoo,confined,associated,confined associated gentoo
1556.6078481416264,saccade,gentoo,confined,associated,confined associated gentoo
44.97269476032116,saccade,gentoo,confined,associated,confined associated gentoo
344.3799100949548,saccade,gentoo,confined,associated,confined associated gentoo
689.4516423015361,saccade,gentoo,confined,associated,confined associated gentoo
577.0587126459216,saccade,gentoo,confined,associated,confined associated gentoo
69.11310150409122,saccade,gentoo,confined,associated,confined associated gentoo
764.7278772569683,saccade,gentoo,confined,associated,confined associated gentoo
1570.739583538944,saccade,gentoo,confined,associated,confined associated gentoo
544.251863216403,saccade,gentoo,confined,associated,confined associated gentoo
955.0224795408218,saccade,gentoo,confined,associated,confined associated gentoo
959.7036565535352,saccade,gentoo,confined,associated,confined associated gentoo
49.573003187294375,saccade,gentoo,confined,associated,confined associated gentoo
723.683238434013,saccade,gentoo,confined,associated,confined associated gentoo
432.6207874023101,saccade,gentoo,confined,associated,confined associated gentoo
81.49546565564037,saccade,gentoo,confined,associated,confined associated gentoo
510.8587177306504,saccade,gentoo,confined,associated,confined associated gentoo
2266.2259554169214,saccade,gentoo,confined,associated,confined associated gentoo
210.97054707024995,saccade,gentoo,confined,associated,confined associated gentoo
339.80070733997195,saccade,gentoo,confined,associated,confined associated gentoo
793.7538995303589,saccade,gentoo,confined,associated,confined associated gentoo
721.1464540893886,saccade,gentoo,confined,associated,confined associated gentoo
1321.0350568140052,saccade,gentoo,confined,associated,confined associated gentoo
651.6519647209009,saccade,gentoo,confined,associated,confined associated gentoo
784.9272007642116,saccade,gentoo,confined,associated,confined associated gentoo
550.101359861664,saccade,gentoo,confined,associated,confined associated gentoo
314.002717502604,saccade,gentoo,confined,associated,confined associated gentoo
57.21953580212528,saccade,gentoo,confined,associated,confined associated gentoo
935.2501944667432,saccade,gentoo,confined,associated,confined associated gentoo
451.9810153088167,saccade,gentoo,confined,associated,confined associated gentoo
752.7490206451625,saccade,gentoo,confined,associated,confined associated gentoo
362.9311254146001,saccade,gentoo,confined,associated,confined associated gentoo
1097.0389143916327,saccade,gentoo,confined,associated,confined associated gentoo
567.4767933611247,saccade,gentoo,confined,associated,confined associated gentoo
1502.7085618585495,saccade,gentoo,confined,associated,confined associated gentoo
318.3796326835511,saccade,gentoo,confined,associated,confined associated gentoo
726.6065446430616,saccade,gentoo,confined,associated,confined associated gentoo
926.141686278614,saccade,gentoo,confined,associated,confined associated gentoo
118.4956141363496,saccade,gentoo,confined,associated,confined associated gentoo
354.167113578424,saccade,gentoo,confined,associated,confined associated gentoo
457.0589246855559,saccade,gentoo,confined,associated,confined associated gentoo
