sex,stimulus_01_name,stimulus_01_amplitude,stimulus_01_amplitude_unit,preference_index,decision_duration_index,id
female,Salt,8.0,%,-0.9363805108780656,-0.9359167829313896,female_8.0
male,Salt,8.0,%,-0.53459568434151,-0.6634079526562876,male_8.0
female,Salt,8.0,%,0.4610497878896604,0.437638327625885,female_8.0
male,Salt,8.0,%,0.9986474718840902,0.9982366723833908,male_8.0
female,Salt,8.0,%,-0.952624683049138,-1.0,female_8.0
male,Salt,8.0,%,-0.6644247607928733,-0.6093251388724737,male_8.0
female,Salt,8.0,%,0.3716723324512914,0.392202777485735,female_8.0
male,Salt,8.0,%,0.9791024001203822,0.9786208422733876,male_8.0
female,Salt,8.0,%,0.9520388780144442,0.949723042089516,female_8.0
male,Salt,8.0,%,0.2388367604977707,0.0763888888888889,male_8.0
female,Salt,8.0,%,0.9775909821618796,0.9769895488400306,female_8.0
male,Salt,8.0,%,0.912102371178918,0.919769280863336,male_8.0
female,Salt,8.0,%,-0.9769242304952572,-0.9768999812347532,female_8.0
male,Salt,8.0,%,0.9950521195274497,0.9946905822462616,male_8.0
female,Salt,8.0,%,0.9722031380558908,0.9649828656974772,female_8.0
male,Salt,8.0,%,0.9973626712098024,0.9973626712098024,male_8.0
female,Salt,8.0,%,-0.9687307138448878,-0.9883836237427398,female_8.0
male,Salt,8.0,%,-0.3809212141045569,-0.3305391208183577,male_8.0
female,Salt,8.0,%,0.3045349160715942,0.2962594545898163,female_8.0
male,Salt,8.0,%,-0.7788581747464927,-1.0,male_8.0
female,Salt,8.0,%,0.998832857830968,0.99860639509805,female_8.0
male,Salt,8.0,%,0.9870884082804612,0.4435129740518962,male_8.0
female,Salt,8.0,%,1.0,,female_8.0
male,Salt,8.0,%,0.8504169123220753,0.8412238005364061,male_8.0
female,Salt,8.0,%,-0.3686368163052201,-0.1482756821620493,female_8.0
male,Salt,8.0,%,-0.2960584050637639,-0.3163229507419523,male_8.0
female,Salt,8.0,%,-0.8482673015108426,-0.9942828014273006,female_8.0
male,Salt,8.0,%,1.0,,male_8.0
female,Salt,8.0,%,-0.648355311898059,-1.0,female_8.0
male,Salt,8.0,%,-0.8463561422141304,-0.915324484549604,male_8.0
female,Salt,8.0,%,1.0,,female_8.0
male,Salt,8.0,%,0.9989421033583578,0.9988061077016526,male_8.0
female,Salt,8.0,%,1.0,,female_8.0
male,Salt,8.0,%,-0.7368706617523246,-0.9960652353870798,male_8.0
