structure,compartment,time_s,p_fwer
Bouton,g2,47.25,1.0
Bouton,g2,47.5,1.0
Bouton,g2,47.75,1.0
Bouton,g2,48.0,1.0
Bouton,g2,48.25,1.0
Bouton,g2,48.5,1.0
Bouton,g2,48.75,1.0
Bouton,g2,49.0,1.0
Bouton,g2,49.25,1.0
Bouton,g2,49.5,1.0
Bouton,g2,49.75,1.0
Bouton,g2,50.0,1.0
Bouton,g2,50.25,1.0
Bouton,g2,50.5,1.0
Bouton,g2,50.75,1.0
Bouton,g2,51.0,1.0
Bouton,g2,51.25,1.0
Bouton,g2,51.5,1.0
Bouton,g2,51.75,1.0
Bouton,g2,52.0,1.0
Bouton,g2,52.25,1.0
Bouton,g2,52.5,1.0
Bouton,g2,52.75,1.0
Bouton,g2,53.0,1.0
Bouton,g2,53.25,1.0
Bouton,g2,53.5,1.0
Bouton,g2,53.75,1.0
Bouton,g2,54.0,1.0
Bouton,g2,54.25,1.0
Bouton,g2,54.5,1.0
Bouton,g2,54.75,1.0
Bouton,g2,55.0,1.0
Bouton,g2,55.25,1.0
Bouton,g2,55.5,1.0
Bouton,g2,55.75,1.0
Bouton,g2,56.0,1.0
Bouton,g2,56.25,1.0
Bouton,g2,56.5,1.0
Bouton,g2,56.75,1.0
Bouton,g2,57.0,1.0
Bouton,g2,57.25,1.0
Bouton,g2,57.5,1.0
Bouton,g2,57.75,1.0
Bouton,g2,58.0,1.0
Bouton,g2,58.25,1.0
Bouton,g2,58.5,1.0
Bouton,g2,58.75,1.0
Bouton,g2,59.0,1.0
Bouton,g2,59.25,1.0
Bouton,g2,59.5,1.0
Bouton,g2,59.75,1.0
Bouton,g2,60.0,1.0
Bouton,g2,60.25,1.0
Bouton,g2,60.5,1.0
Bouton,g2,60.75,0.7075369075369076
Bouton,g2,61.0,1.0
Bouton,g2,61.25,1.0
Bouton,g2,61.5,1.0
Bouton,g2,61.75,1.0
Bouton,g2,62.0,1.0
Bouton,g2,62.25,1.0
Bouton,g2,62.5,1.0
Bouton,g2,62.75,1.0
Bouton,g2,63.0,1.0
Bouton,g2,63.25,1.0
Bouton,g2,63.5,1.0
Bouton,g2,63.75,1.0
Bouton,g2,64.0,1.0
