genotype,contrast,compartment,time_s,p_fwer
dnc-wt,Bouton_vs_Axon,g2,73.25,1.0
dnc-wt,Bouton_vs_Axon,g2,73.5,1.0
dnc-wt,Bouton_vs_Axon,g2,73.75,1.0
dnc-wt,Bouton_vs_Axon,g2,74.0,1.0
dnc-wt,Bouton_vs_Axon,g2,74.25,1.0
dnc-wt,Bouton_vs_Axon,g2,74.5,1.0
dnc-wt,Bouton_vs_Axon,g2,74.75,1.0
dnc-wt,Bouton_vs_Axon,g2,75.0,1.0
dnc-wt,Bouton_vs_Axon,g2,75.25,1.0
dnc-wt,Bouton_vs_Axon,g2,75.5,1.0
dnc-wt,Bouton_vs_Axon,g2,75.75,1.0
dnc-wt,Bouton_vs_Axon,g2,76.0,1.0
dnc-wt,Bouton_vs_Axon,g2,76.25,1.0
dnc-wt,Bouton_vs_Axon,g2,76.5,1.0
dnc-wt,Bouton_vs_Axon,g2,76.75,1.0
dnc-wt,Bouton_vs_Axon,g2,77.0,1.0
dnc-wt,Bouton_vs_Axon,g2,77.25,1.0
dnc-wt,Bouton_vs_Axon,g2,77.5,1.0
dnc-wt,Bouton_vs_Axon,g2,77.75,1.0
dnc-wt,Bouton_vs_Axon,g2,78.0,1.0
dnc-wt,Bouton_vs_Axon,g2,78.25,1.0
dnc-wt,Bouton_vs_Axon,g2,78.5,1.0
dnc-wt,Bouton_vs_Axon,g2,78.75,1.0
dnc-wt,Bouton_vs_Axon,g2,79.0,1.0
dnc-wt,Bouton_vs_Axon,g2,79.25,1.0
dnc-wt,Bouton_vs_Axon,g2,79.5,1.0
dnc-wt,Bouton_vs_Axon,g2,79.75,1.0
dnc-wt,Bouton_vs_Axon,g2,80.0,1.0
dnc-wt,Bouton_vs_Axon,g2,80.25,1.0
dnc-wt,Bouton_vs_Axon,g2,80.5,1.0
dnc-wt,Bouton_vs_Axon,g2,80.75,1.0
dnc-wt,Bouton_vs_Axon,g2,81.0,1.0
dnc-wt,Bouton_vs_Axon,g2,81.25,1.0
dnc-wt,Bouton_vs_Axon,g2,81.5,1.0
dnc-wt,Bouton_vs_Axon,g2,81.75,1.0
dnc-wt,Bouton_vs_Axon,g2,82.0,1.0
dnc-wt,Bouton_vs_Axon,g2,82.25,1.0
dnc-wt,Bouton_vs_Axon,g2,82.5,1.0
dnc-wt,Bouton_vs_Axon,g2,82.75,1.0
dnc-wt,Bouton_vs_Axon,g2,83.0,1.0
dnc-wt,Bouton_vs_Axon,g2,83.25,1.0
dnc-wt,Bouton_vs_Axon,g2,83.5,1.0
dnc-wt,Bouton_vs_Axon,g2,83.75,1.0
dnc-wt,Bouton_vs_Axon,g2,84.0,1.0
